index,record_type,record_family,evaluation_role,requirement_level,delivery_guarantee,recognized,canonical_table,queryable,specialized_mode,specialized_table,silent_drop
1,runtime.episode,runtime,required,required,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
2,runtime.request,runtime,required,required,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
3,runtime.a2a_task,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
4,runtime.goal,runtime,required,required,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
5,runtime.goal_contract,runtime,required,required,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
6,runtime.goal_patch,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
7,runtime.plan,runtime,required,required,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
8,runtime.plan_step,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
9,runtime.state_transition,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
10,runtime.decision,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
11,runtime.policy_decision,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
12,runtime.execution_gate,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
13,runtime.human_confirmation,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
14,runtime.action,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
15,runtime.receipt,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
16,runtime.verification,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
17,runtime.outcome,runtime,required,conditional,durable_projection,true,sdar_core.sdar_evidence_v1_record,true,canonical-only,,false
